event_id,event_timestamp,insurance_type,region,policy_tier,event_channel,verification_mode,claim_stage,customer_age,annual_income,premium_amount,policy_duration_months,event_amount,historical_event_count,account_tenure_days,event_delay_days,supporting_doc_count,external_reference_score,geo_risk_index,behavioral_score,payment_irregularity_count,prior_escalations,digital_activity_score,asset_value_estimate,coverage_utilization_ratio,co_participant_count,network_trust_score,anomaly_indicator,historical_avg_amount,amount_deviation_ratio,response_latency_seconds,device_switch_count,profile_update_frequency,third_party_involvement,investigation_flag,sentiment_score,document_complexity_score,fraud_outcome,fraud_probability_percent
1055,09-02-2025 18:50,education,east,premium,branch,auto,approved,50,268376,21087,94,441926,0,2373,30,9,0.53,0.88,12.4,1,0,38.7,125448,0.14,2,0.46,0,119271,3.71,48,0,0,0,1,0.02,0.54,1,64
1056,09-02-2025 19:03,education,east,premium,agent,hybrid,submitted,67,733532,8727,42,428121,0,1832,53,4,0.41,0.53,27.7,0,0,78.5,532925,0.27,3,0.52,1,187143,2.29,124,2,0,0,0,0.19,0.18,0,28
1057,09-02-2025 19:20,life,north,basic,mobile_app,hybrid,under_review,20,211895,37271,6,143278,1,2427,88,7,0.27,0.17,60.1,1,0,19,952550,1.21,1,0.9,1,8890,16.11,93,1,0,0,0,0.67,0.2,1,66
1058,09-02-2025 19:26,education,south,basic,agent,manual,rejected,60,517355,18594,17,121003,1,2734,55,8,0.03,0.48,19.3,0,0,42.2,833877,1.45,3,0.95,0,142631,0.85,207,0,0,1,0,-0.8,0.79,0,31
1059,09-02-2025 19:43,health,east,premium,mobile_app,manual,under_review,43,924476,65481,65,219283,4,1885,57,3,0.93,0.6,35,1,0,28.2,242406,0.73,3,0.95,0,151345,1.45,212,0,1,0,0,0.91,0.98,0,69
1060,09-02-2025 19:53,business,east,basic,web,hybrid,approved,23,303930,46767,89,104616,2,1509,76,6,0.18,0.37,71.4,0,0,47.6,85130,0.3,2,0.86,0,212051,0.49,256,2,0,1,0,-0.01,0.52,0,66
1061,09-02-2025 20:07,health,south,basic,branch,manual,under_review,72,652757,21496,56,340012,1,2205,51,1,0.15,0.36,67.3,0,1,75.4,768721,0.64,2,0.86,0,248202,1.37,200,0,2,0,1,-0.64,0.44,0,29
1062,09-02-2025 20:19,life,north,premium,branch,hybrid,submitted,42,595078,77505,98,418747,2,1664,76,1,0.98,0.55,49.5,1,3,71.7,570866,1.25,0,0.45,1,16694,25.08,199,2,0,1,0,0.85,0.52,0,36
1063,09-02-2025 20:26,home,central,premium,branch,hybrid,submitted,25,1188230,11694,82,294215,0,566,,3,0.1,0.64,84.3,0,0,42.9,119141,0.93,0,0.27,0,291756,1.01,127,1,0,1,0,-0.7,0.11,0,47
1064,09-02-2025 20:39,agriculture,north,basic,mobile_app,manual,approved,64,527420,14378,97,132308,0,2906,19,5,0.8,0.65,84.8,2,0,88.9,545549,1.06,2,0.69,0,193798,0.68,193,2,0,1,0,-0.27,0.93,0,31
1065,09-02-2025 20:54,agriculture,south,standard,branch,hybrid,submitted,71,1188470,56884,114,427751,2,3718,30,6,0.4,0.5,0.4,0,1,48.8,593318,1.41,1,0.33,1,122645,3.49,238,0,1,0,0,0.63,0.28,1,77
1066,09-02-2025 21:03,agriculture,west,standard,web,manual,investigating,50,859417,78546,118,242718,4,3674,79,7,0.77,0.3,46.1,0,0,88.1,451012,0.42,1,0.39,0,29207,8.31,110,0,0,0,1,0.95,0.12,1,93
1067,09-02-2025 21:14,agriculture,south,premium,mobile_app,hybrid,under_review,20,1756369,44157,107,466682,1,1094,7,7,0.78,0.79,86.2,0,1,76.1,561798,0.8,3,0.21,0,202588,2.3,101,0,1,1,1,-0.68,0.28,0,43
1068,09-02-2025 21:26,home,south,basic,mobile_app,manual,submitted,73,615149,70917,34,494660,0,1608,19,2,0.51,0.31,69.3,0,0,82,168038,0.19,3,0.87,0,138392,3.57,136,1,0,0,0,-0.07,0.39,0,53
1069,09-02-2025 21:41,vehicle,south,basic,web,auto,submitted,37,1652119,37690,39,166110,0,922,6,0,0.27,0.65,32.8,1,0,10.8,310959,1.41,0,0.83,0,147783,1.12,142,1,1,1,0,0.77,0.8,0,34
1070,09-02-2025 21:49,vehicle,east,basic,branch,hybrid,approved,28,361384,57465,89,356316,1,3574,5,8,0.77,0.23,69.9,2,0,15.8,285161,0.91,3,0.27,0,114037,3.12,213,2,3,1,0,0.64,0.22,0,47
1071,09-02-2025 22:06,warranty,central,premium,mobile_app,hybrid,investigating,42,1298761,6754,112,131578,0,1919,20,1,0.02,0.64,78.2,1,0,26.9,514559,0.46,0,0.9,0,184545,0.71,289,1,0,0,1,0.29,0.14,0,64
1072,09-02-2025 22:12,agriculture,south,basic,mobile_app,hybrid,rejected,51,1547197,30794,96,250781,1,3115,62,1,0.74,0.42,59.2,1,1,15.6,503971,1.22,3,0.63,0,22795,11,219,1,1,1,0,-0.61,0.45,1,98
1073,09-02-2025 22:27,warranty,west,basic,web,manual,rejected,65,288085,41106,117,155061,1,106,29,9,0.95,0.53,96.2,0,0,81.7,464737,0.86,1,0.33,0,92998,1.67,299,0,1,0,1,-0.95,0.76,0,49
1074,09-02-2025 22:40,agriculture,west,premium,agent,hybrid,rejected,67,745055,39761,54,423207,1,2929,14,4,0.91,0.64,69.1,0,0,51.6,113319,0.48,0,0.32,0,104955,4.03,219,2,1,1,0,-0.7,0.87,1,98
1075,09-02-2025 22:48,education,west,standard,web,hybrid,rejected,60,378775,66092,12,407752,1,989,57,5,0.63,0.19,8.9,0,0,63.3,963310,1.32,2,0.22,0,151730,2.69,107,1,1,0,0,0.98,0.78,0,70
1076,09-02-2025 23:04,agriculture,north,standard,branch,auto,submitted,23,1787862,69334,97,319822,0,1287,67,1,0.76,0.61,58.7,1,0,92.6,739271,1.43,1,0.52,1,74000,4.32,274,2,0,1,0,0.94,0.42,1,82
1077,09-02-2025 23:19,education,east,standard,agent,hybrid,approved,69,803978,30263,29,319351,1,1196,72,8,0.89,0.22,20.3,0,0,15.1,828594,1.08,3,0.91,0,298910,1.07,4,0,0,0,1,0.93,0.27,0,8
1078,09-02-2025 23:26,education,north,premium,web,manual,approved,60,1302572,50685,119,119776,2,2972,64,4,0.18,0.28,17.1,0,2,61.4,282350,1.01,1,0.86,0,120676,0.99,248,0,0,0,0,-0.69,0.78,0,40
1079,09-02-2025 23:41,business,west,standard,web,auto,under_review,53,212502,54584,111,319226,2,2713,,7,0.41,0.52,50.2,0,0,93.1,770632,0.35,0,0.21,0,212628,1.5,119,1,0,1,1,-0.02,0.52,0,44
1080,09-02-2025 23:53,home,west,standard,branch,auto,investigating,48,525988,20352,82,219914,2,1592,47,5,0.06,0.62,87.6,0,1,48,226747,0.69,3,0.81,0,60687,3.62,92,0,0,1,0,0.49,0.24,1,64
1081,10-02-2025 00:08,health,central,premium,mobile_app,manual,submitted,63,926300,48053,109,12140,1,816,44,3,0.71,0.89,87.1,1,0,72.1,424469,0.74,3,0.8,0,68175,0.18,78,0,0,0,0,0.17,0.29,0,48
1082,10-02-2025 00:14,vehicle,east,standard,branch,hybrid,rejected,35,1067949,61202,90,403666,1,1495,21,3,0.79,0.33,93.2,0,0,94.1,248485,1.46,2,0.27,0,292098,1.38,288,0,1,0,0,0.25,0.48,0,63
1083,10-02-2025 00:32,business,south,standard,mobile_app,auto,rejected,58,1615058,14655,115,178941,3,666,1,8,0.27,0.47,75.6,2,1,24.7,925655,0.35,0,0.75,1,233509,0.77,225,0,0,0,0,-0.42,0.89,0,65
1084,10-02-2025 00:43,vehicle,south,standard,web,manual,investigating,61,1795662,45583,65,437208,5,667,69,2,0.22,0.58,68.3,0,0,36.5,217962,0.44,1,0.3,0,94631,4.62,103,1,0,0,0,0.17,0.86,1,83
1085,10-02-2025 00:52,vehicle,north,basic,agent,manual,under_review,50,238555,11765,118,94298,1,1946,8,2,0.3,0.8,90.1,0,0,12,674355,1.02,0,0.89,0,264922,0.36,60,0,1,1,0,0.23,0.67,0,55
1086,10-02-2025 01:07,business,east,basic,branch,auto,submitted,69,449306,67876,48,56660,0,894,19,6,0.64,0.83,36.9,0,0,33.5,660380,0.46,2,0.58,0,61328,0.92,178,0,0,1,0,-0.42,0.36,0,48
1087,10-02-2025 01:15,education,central,basic,mobile_app,manual,approved,46,992217,30882,33,216081,1,2981,64,0,0.89,0.67,10.9,0,1,40.5,536806,0.61,1,0.66,0,156693,1.38,121,1,1,1,0,-0.77,0.88,0,20
1088,10-02-2025 01:25,warranty,east,premium,mobile_app,hybrid,investigating,69,200406,79274,59,44260,4,1593,47,0,0.95,0.76,91.3,2,1,85.1,497219,0.74,2,0.88,0,74394,0.59,119,1,0,1,1,-0.53,0.26,0,47
1089,10-02-2025 01:37,agriculture,central,basic,agent,hybrid,under_review,68,1249745,72816,6,31854,1,1023,37,1,0.69,0.87,39.8,0,2,12.6,594760,0.66,0,0.43,0,256433,0.12,50,1,0,1,0,0.58,0.49,0,13
1090,10-02-2025 01:50,education,south,standard,web,auto,under_review,60,383491,17190,48,60074,1,3187,26,7,1,0.84,60.6,0,0,62.3,277145,0.73,2,0.38,0,110523,0.54,105,0,1,0,0,-0.39,0.38,0,53
1091,10-02-2025 02:08,business,east,standard,web,manual,rejected,66,1102530,19148,31,235369,1,2812,65,1,0.44,0.45,20,1,1,13.8,917354,0.19,0,0.28,0,107682,2.19,113,0,0,0,1,0.85,0.31,1,93
1092,10-02-2025 02:18,agriculture,west,basic,agent,hybrid,submitted,22,1583146,54970,6,12982,1,565,6,1,0,0.64,77.9,0,1,36.8,882185,1.42,0,0.38,1,72304,0.18,295,0,0,0,0,0.65,0.11,0,34
1093,10-02-2025 02:32,home,west,basic,web,manual,rejected,60,284761,73799,85,407887,3,716,59,9,0.18,0.8,38.5,1,1,85.1,828889,0.85,2,0.3,0,24295,16.79,116,1,0,0,1,-0.26,0.57,1,85
1094,10-02-2025 02:42,life,south,basic,agent,manual,submitted,35,1497952,30478,93,391624,7,302,43,8,0.83,0.48,63.3,1,0,57.8,773028,0.24,0,0.37,0,135170,2.9,148,0,0,1,0,0.15,0.85,0,36
1095,10-02-2025 02:55,vehicle,north,basic,branch,auto,under_review,72,288496,19136,90,229595,1,828,87,6,0.2,0.73,4.6,0,0,73.3,812491,1.47,2,0.78,0,32964,6.96,26,1,0,0,0,-0.18,0.84,1,96
1096,10-02-2025 03:01,home,south,basic,agent,auto,submitted,33,985517,26796,100,129675,0,1709,75,2,0.96,0.3,62.3,0,1,90.9,271140,1.21,1,0.53,1,43270,3,130,1,1,0,0,0.12,0.13,1,74
1097,10-02-2025 03:20,business,north,premium,web,hybrid,under_review,51,1290764,64125,102,210016,3,2559,60,1,0.46,0.52,58.3,0,1,76.6,820501,0.4,0,0.36,1,235994,0.89,41,1,0,1,0,-0.36,0.33,0,38
1098,10-02-2025 03:25,education,central,premium,branch,manual,submitted,71,1905826,26500,47,35345,1,3487,87,3,0.51,0.51,59.9,0,0,28.9,512572,0.17,2,0.78,0,47185,0.75,139,1,0,1,0,0.64,0.45,0,16
1099,10-02-2025 03:37,vehicle,west,basic,agent,auto,under_review,38,1727499,39620,32,123495,1,469,47,5,0.55,0.36,93.4,0,0,42,904129,0.35,1,0.4,0,194263,0.64,278,1,0,0,0,0.28,0.53,0,10
1100,10-02-2025 03:56,health,east,standard,web,hybrid,rejected,45,1148867,57944,76,387399,3,3972,,3,0.93,0.36,28.6,2,0,88.4,617033,0.15,1,0.32,0,178942,2.16,195,2,0,0,0,-0.55,0.71,0,44
1101,10-02-2025 04:03,education,north,basic,mobile_app,hybrid,under_review,19,1107309,21535,53,377076,1,2852,24,3,0.14,0.65,39.8,0,0,55.5,175094,0.22,0,0.71,0,179901,2.1,99,4,1,0,0,0.23,0.96,1,86
1102,10-02-2025 04:14,health,north,basic,mobile_app,manual,investigating,45,1158304,10230,81,184985,3,1819,14,6,0.58,0.25,93.7,0,0,45.5,669424,0.94,0,0.94,0,39696,4.66,56,1,1,1,0,-0.1,0.8,1,64
1103,10-02-2025 04:25,vehicle,east,basic,web,auto,investigating,35,691905,55700,11,194992,2,3283,65,5,0.65,0.14,24.7,0,0,77.1,65013,1.32,0,0.28,1,171231,1.14,63,2,0,0,1,-0.8,0.13,0,61
1104,10-02-2025 04:42,health,north,basic,mobile_app,auto,submitted,55,665290,12742,30,39210,0,2373,33,9,0.94,0.7,70.5,0,0,72,329852,0.49,2,0.32,0,91661,0.43,215,3,1,0,0,0.57,0.13,1,79
1105,10-02-2025 04:49,agriculture,east,premium,branch,hybrid,rejected,21,1018209,56680,49,156945,4,2841,2,9,0.89,0.64,95.6,0,0,17.6,780326,0.86,3,0.88,0,237334,0.66,287,0,0,1,0,-0.48,0.28,0,44
1106,10-02-2025 05:00,home,north,premium,branch,auto,approved,49,949590,39446,112,447817,1,411,29,6,0.47,0.73,86.5,0,0,74.4,275132,1.22,1,0.35,0,74476,6.01,16,1,0,0,0,-0.38,0.2,1,87
1107,10-02-2025 05:19,warranty,central,premium,branch,auto,submitted,65,1639750,29148,42,394274,3,883,51,8,0.58,0.4,35.1,0,0,15,91408,0.22,2,0.34,0,52298,7.54,63,2,0,0,0,0.61,0.84,1,69
1108,10-02-2025 05:29,education,north,premium,mobile_app,auto,investigating,18,754567,61184,54,471059,2,2881,35,7,0.23,0.84,46.7,0,0,62.1,864960,1.04,0,0.72,0,279614,1.68,279,1,2,0,0,0.17,0.29,0,62
1109,10-02-2025 05:44,education,west,premium,web,manual,submitted,51,1691728,66732,23,42156,1,2155,63,1,0.3,0.34,,1,1,47.5,719652,0.73,0,0.36,1,137659,0.31,146,0,1,0,0,-0.15,0.28,0,67
1110,10-02-2025 05:56,health,central,basic,branch,manual,under_review,43,1894455,63541,11,444360,0,2019,62,3,0.65,0.6,87.7,0,0,78.8,158006,0.79,0,0.53,0,259263,1.71,297,0,0,0,0,0.54,0.62,0,54
1111,10-02-2025 06:04,life,east,premium,agent,auto,approved,55,1405082,76813,89,66865,2,2778,10,6,0.71,0.7,82,1,0,30.8,485873,1.19,3,0.69,0,138855,0.48,273,0,0,0,1,0.61,0.21,1,96
1112,10-02-2025 06:12,health,east,standard,branch,manual,approved,30,261626,31507,20,60492,2,2010,16,9,0.67,0.26,87.4,0,0,73.2,350956,0.55,1,0.84,0,294902,0.21,230,2,1,0,0,0.86,0.28,0,55
1113,10-02-2025 06:29,home,north,premium,branch,hybrid,submitted,52,1018191,12722,102,94085,1,3153,80,3,0.03,0.54,33.4,1,0,23.2,260641,0.32,1,0.28,0,169981,0.55,72,2,0,0,1,-0.42,0.45,0,55
1114,10-02-2025 06:44,agriculture,north,standard,branch,manual,investigating,54,1942235,74021,44,163993,3,1384,77,7,0.16,0.79,48,0,0,53.1,450383,1.43,2,0.88,0,245755,0.67,153,0,0,1,0,-0.93,0.18,0,39
1115,10-02-2025 06:54,education,north,premium,agent,manual,submitted,52,595412,11311,60,56627,3,3168,60,6,0.3,0.61,61,0,1,51.3,863461,1.4,0,0.94,1,286795,0.2,2,1,1,0,0,0.2,0.59,0,67
1116,10-02-2025 07:07,warranty,north,standard,agent,auto,submitted,56,859843,60563,29,152075,0,3312,39,0,0.24,0.29,84.9,2,1,17.9,843466,1.34,3,0.38,0,73841,2.06,177,0,1,1,0,0.45,0.61,0,55
1117,10-02-2025 07:20,education,east,basic,mobile_app,auto,rejected,52,1350613,47208,33,412423,1,3538,34,0,0.63,0.55,82.2,0,0,57.5,745202,0.35,3,0.81,0,86010,4.8,274,0,2,0,0,-0.37,0.1,0,9
1118,10-02-2025 07:30,vehicle,central,premium,web,auto,rejected,71,897705,63510,69,359308,2,2622,21,5,0.58,0.47,39.1,0,0,87.4,691765,0.16,2,0.28,0,122457,2.93,92,3,1,0,0,0.57,0.28,0,25
1119,10-02-2025 07:36,life,north,standard,web,hybrid,submitted,74,550159,24787,40,72492,1,1838,22,4,0.63,0.11,28.2,1,2,75,870147,0.52,2,0.46,0,171439,0.42,84,0,1,1,0,0.77,0.16,0,66
1120,10-02-2025 07:50,home,north,standard,branch,manual,approved,74,1158922,7206,30,416180,1,3057,18,8,0.16,0.24,96.7,2,0,51.8,391981,0.53,2,0.86,0,90285,4.61,140,1,0,0,0,0.29,0.23,1,76
1121,10-02-2025 08:02,business,north,basic,web,hybrid,investigating,35,962432,39846,20,63810,2,1996,21,0,0.77,0.69,37.5,0,0,34.8,875517,1.36,1,0.39,0,73010,0.87,233,1,1,1,1,-0.9,0.83,0,29
1122,10-02-2025 08:13,business,south,standard,mobile_app,manual,submitted,58,1652732,23637,8,331535,0,3128,69,5,0.43,0.6,13.7,1,0,36.7,267666,0.68,2,0.78,0,269217,1.23,64,2,1,0,1,-0.07,0.63,0,57
1123,10-02-2025 08:27,life,north,basic,branch,manual,rejected,36,1338395,8510,112,417796,2,3720,39,9,0.56,0.66,32.5,0,0,70.1,837416,0.9,3,0.71,1,224940,1.86,228,1,0,0,0,-0.45,0.19,0,8
1124,10-02-2025 08:41,life,central,premium,mobile_app,manual,investigating,73,919380,36494,48,71679,1,827,76,8,0.56,0.29,33.9,1,0,35.6,625188,1.23,1,0.22,0,247495,0.29,258,1,2,0,0,-0.15,0.27,0,35
1125,10-02-2025 08:52,home,west,premium,agent,manual,approved,69,1945707,27670,78,419860,2,2339,4,4,0.01,0.7,46.8,1,1,25.4,71031,0.12,2,0.26,0,229591,1.83,143,1,3,0,0,-0.28,0.55,0,27
1126,10-02-2025 09:03,life,south,standard,branch,manual,rejected,25,480368,44358,67,91251,1,585,7,1,0.32,0.7,64.1,0,0,44.2,921328,0.55,3,0.58,0,171478,0.53,32,1,1,1,0,-0.01,0.21,1,87
1127,10-02-2025 09:16,education,north,standard,agent,auto,submitted,73,621167,50059,84,451576,2,3763,30,5,0.25,0.82,52,0,0,35.4,770793,0.76,3,0.88,0,94238,4.79,80,3,0,0,0,-0.42,0.23,1,91
1128,10-02-2025 09:26,business,north,premium,branch,manual,under_review,61,426354,19023,82,146082,1,769,44,9,0.96,0.55,76.6,0,0,89.5,265552,1.21,3,0.47,1,122822,1.19,92,0,1,0,0,0.51,0.48,0,44
1129,10-02-2025 09:38,vehicle,west,basic,agent,manual,submitted,24,780667,41438,50,496378,2,3312,9,4,0.49,0.86,87.7,0,0,48.6,493777,0.68,0,0.48,1,166145,2.99,72,2,0,0,0,0.05,0.31,0,59
1130,10-02-2025 09:56,education,west,basic,branch,hybrid,submitted,20,1172528,30399,48,467328,3,2263,59,4,0.35,0.82,31.2,0,0,74.7,919352,0.99,0,0.59,0,247228,1.89,63,3,0,1,0,0.09,0.21,0,14
1131,10-02-2025 10:06,health,east,premium,web,hybrid,approved,19,1716824,10829,65,412932,2,2536,18,8,0.42,0.65,22.4,1,1,16,231634,0.2,3,0.28,0,29305,14.09,118,0,1,0,0,-0.54,0.67,1,90
1132,10-02-2025 10:15,agriculture,west,basic,mobile_app,hybrid,approved,69,1812194,46010,108,206085,0,3885,14,0,0.21,0.49,52.8,1,1,44.2,167051,1.09,2,0.91,0,119371,1.73,233,2,0,0,0,-0.75,0.77,0,30
1133,10-02-2025 10:32,home,east,basic,branch,manual,approved,34,1900653,6479,90,259176,1,2790,83,1,0.58,0.51,92.1,0,0,66.3,896774,1.34,2,0.26,1,13740,18.86,278,1,0,0,0,-0.56,0.43,1,96
1134,10-02-2025 10:40,education,west,premium,branch,auto,submitted,22,544644,38807,19,19587,2,2397,82,9,0.53,0.31,50.6,2,0,15.5,627240,1.28,0,0.74,0,121394,0.16,114,0,0,0,0,0.06,0.53,0,1
1135,10-02-2025 10:50,health,west,premium,agent,auto,submitted,39,857441,35942,24,324450,0,3637,15,6,0.25,0.82,63.1,1,0,41.2,326472,0.6,3,0.51,1,56819,5.71,10,0,1,0,0,0.72,0.85,1,74
1136,10-02-2025 11:05,agriculture,central,premium,mobile_app,auto,submitted,61,1561828,27063,22,131276,3,2987,36,8,0.52,0.4,76.8,1,0,80.7,956654,0.42,3,0.73,0,108278,1.21,234,2,0,0,0,-0.83,0.48,0,31
1137,10-02-2025 11:13,vehicle,west,basic,agent,manual,submitted,37,,41151,105,270652,0,3599,34,3,0.7,0.72,74,0,1,68.7,313516,0.62,2,0.28,0,49209,5.5,188,1,0,1,0,0.39,0.56,1,59
1138,10-02-2025 11:27,vehicle,south,standard,branch,manual,investigating,39,509046,76701,14,94829,3,2701,16,9,0.49,0.55,73.2,1,0,87.2,856160,0.94,0,0.43,0,64633,1.47,226,2,1,0,0,-0.94,0.13,0,26
1139,10-02-2025 11:41,business,south,basic,web,manual,submitted,65,1463846,39582,74,293995,2,3503,30,5,0.64,0.32,80.4,0,2,30.6,130029,0.96,2,0.23,0,63782,4.61,80,3,2,0,0,-0.84,0.84,1,75
1140,10-02-2025 11:53,education,north,basic,mobile_app,auto,approved,28,422966,58287,9,16895,3,2849,42,0,0.52,0.12,7.5,2,0,30.9,772175,1.14,0,0.51,0,47798,0.35,144,3,0,0,0,-0.11,0.17,0,27
1141,10-02-2025 12:08,life,south,standard,mobile_app,manual,under_review,50,848095,13659,114,201643,2,2833,66,2,0.8,0.45,23.7,0,1,88.2,202188,0.93,1,0.41,0,204822,0.98,290,2,0,1,0,-0.08,0.59,0,41
1142,10-02-2025 12:20,life,east,basic,agent,manual,under_review,42,1164747,46456,91,157554,0,2306,46,1,0.27,0.56,57.2,0,0,50.3,608862,0.58,3,0.5,1,119090,1.32,11,0,1,0,0,1,0.65,0,56
1143,10-02-2025 12:32,health,north,basic,branch,manual,submitted,46,217027,49232,36,481566,2,2530,21,1,0.74,0.25,31.4,0,0,85.1,647923,0.31,1,0.43,0,86259,5.58,286,2,0,1,0,-0.73,0.34,1,77
1144,10-02-2025 12:38,business,west,standard,web,hybrid,under_review,40,1121276,25288,41,128438,3,154,45,5,0.75,0.19,62.3,1,2,10.3,558429,1.18,2,0.61,0,158455,0.81,157,0,1,1,0,-0.54,0.54,0,32
1145,10-02-2025 12:55,education,central,standard,branch,auto,under_review,40,502077,15382,98,263906,3,1712,35,2,0.97,0.12,34.9,0,0,29.6,896270,0.25,0,0.62,1,182860,1.44,227,2,0,0,0,-0.66,0.18,0,3
1146,10-02-2025 13:08,vehicle,west,standard,web,auto,rejected,66,440453,31113,88,61014,5,1311,75,0,0.76,0.23,,0,0,35.1,898389,0.85,3,0.95,0,198132,0.31,275,0,1,0,0,-0.86,0.43,0,60
1147,10-02-2025 13:14,health,central,basic,agent,hybrid,rejected,63,240192,25604,104,478602,2,308,57,2,0.22,0.34,53.6,1,0,28.7,588106,0.19,3,0.64,0,112714,4.25,133,0,0,1,0,-0.96,0.77,1,65
1148,10-02-2025 13:31,warranty,west,standard,branch,hybrid,approved,65,224197,47166,15,459986,1,144,,0,0.13,0.68,47.2,0,0,48,293768,0.73,2,0.24,0,42272,10.88,87,0,0,1,0,0.76,0.11,0,29
1149,10-02-2025 13:44,home,south,premium,agent,auto,approved,64,,9266,49,296991,4,1676,25,9,0.51,0.32,36.3,1,0,54.1,131299,1.38,0,0.21,0,145019,2.05,34,0,1,1,0,0.68,0.75,1,68
1150,10-02-2025 13:53,life,east,standard,mobile_app,manual,investigating,39,1499385,71018,20,288463,0,1683,22,0,0.34,0.9,98.5,0,0,55.1,190869,0.33,1,0.78,0,101846,2.83,134,0,1,1,0,-0.16,0.76,0,21
1151,10-02-2025 14:04,education,west,premium,agent,manual,under_review,24,221764,12378,79,190174,4,3676,20,5,0.03,0.31,16.2,1,1,58.2,641328,1.02,1,0.84,0,129532,1.47,186,1,1,0,0,0.49,0.64,0,31
1152,10-02-2025 14:20,business,central,premium,branch,manual,submitted,42,722740,37557,115,64388,2,1749,18,9,0.65,0.51,60.6,0,0,23.2,802774,1.17,0,0.36,0,212654,0.3,218,0,2,0,0,-0.88,0.42,0,47
1153,10-02-2025 14:31,life,east,basic,mobile_app,hybrid,approved,49,1761450,11480,75,184322,3,1546,52,9,0.67,0.9,92.3,0,0,74,212582,0.73,3,0.55,1,193941,0.95,205,0,0,1,0,-0.5,0.88,0,14
1154,10-02-2025 14:39,home,south,standard,mobile_app,hybrid,investigating,69,979237,74020,30,137575,1,3335,42,8,0.99,0.68,83.3,1,0,79,624871,0.2,0,0.84,0,127923,1.08,59,0,2,0,0,0.14,0.49,0,45
1155,10-02-2025 14:49,vehicle,west,standard,branch,hybrid,submitted,49,1970858,58393,86,470287,2,2205,56,4,0.44,0.74,24,0,1,68.8,413051,1.3,0,0.34,0,234776,2,64,0,1,0,1,-0.2,0.32,0,21
1156,10-02-2025 15:07,business,north,premium,web,auto,rejected,71,1170014,22080,113,424191,1,2187,,1,0.7,0.39,84.4,1,0,60.4,271540,0.17,0,0.41,0,68122,6.23,66,2,0,0,0,0.25,0.19,1,74
1157,10-02-2025 15:17,agriculture,east,premium,agent,auto,under_review,45,334570,8591,14,42564,2,2047,87,0,0.11,0.58,,0,0,86.4,765546,1.17,2,0.64,0,299234,0.14,164,0,0,0,0,0.71,0.84,0,4
1158,10-02-2025 15:25,home,east,standard,mobile_app,manual,submitted,50,850209,39065,46,420290,0,1468,22,0,0.55,0.69,53.6,1,0,85.8,765385,1.48,0,0.37,0,61635,6.82,76,1,0,0,1,-0.19,0.23,1,74
1159,10-02-2025 15:39,business,east,premium,agent,hybrid,approved,57,1520277,51075,13,63356,2,2986,19,4,0.79,0.26,46.8,0,1,86.8,95866,1.03,2,0.28,1,213688,0.3,36,1,0,1,0,0.08,0.93,0,55
1160,10-02-2025 15:54,life,central,standard,agent,auto,submitted,23,1284483,44676,107,427912,2,1027,,6,0.69,0.65,39.4,0,1,79.7,173379,0.5,0,0.42,0,183555,2.33,169,4,2,1,0,0.18,0.51,0,52
1161,10-02-2025 16:06,agriculture,central,premium,agent,auto,submitted,64,1717756,38269,117,361456,1,1740,78,4,0.95,0.22,55.1,0,1,24.2,729358,0.34,0,0.38,0,107402,3.37,203,2,1,0,0,0.69,0.9,0,45
1162,10-02-2025 16:14,business,north,basic,mobile_app,manual,investigating,63,1994139,66907,74,85862,1,450,86,9,0.74,0.32,50.3,1,0,60.2,905382,0.34,2,0.82,0,194595,0.44,160,1,0,0,0,0.4,0.47,0,37
1163,10-02-2025 16:27,warranty,south,premium,agent,auto,submitted,58,1994715,53441,15,281937,2,2165,73,1,0.4,0.57,66.2,1,1,48.9,963776,0.4,0,0.62,0,251781,1.12,272,0,0,0,0,0.02,0.21,0,42
1164,10-02-2025 16:38,health,central,basic,branch,manual,submitted,41,244778,13980,42,478815,0,620,43,4,0.69,0.59,35.3,1,1,93.1,793381,1.04,3,0.7,0,132633,3.61,145,0,1,0,0,-0.24,0.66,1,73
1165,10-02-2025 16:53,warranty,central,basic,branch,hybrid,investigating,32,770760,40337,117,285633,0,3598,21,2,0.56,0.71,69.8,0,3,79.4,77792,0.29,2,0.82,0,68198,4.19,20,1,2,0,0,-0.17,0.95,1,62
1166,10-02-2025 17:06,business,north,standard,mobile_app,hybrid,rejected,44,1517548,10754,51,33128,2,828,71,0,0.33,0.4,17.2,0,0,20.8,789275,1.13,2,0.7,0,27329,1.21,257,1,3,0,0,-0.01,0.38,0,15
1167,10-02-2025 17:12,home,central,basic,mobile_app,hybrid,under_review,22,1380732,52659,7,48253,1,843,9,2,0.49,0.56,5.5,0,1,28.3,530935,0.98,2,0.3,1,96596,0.5,295,2,0,1,0,-0.65,0.27,0,33
1168,10-02-2025 17:32,health,west,basic,mobile_app,auto,investigating,51,684260,8214,80,383822,1,2828,45,3,0.54,0.31,78.3,0,0,62.3,736139,0.93,1,0.76,0,280363,1.37,169,1,2,1,0,-0.89,0.2,0,49
1169,10-02-2025 17:44,warranty,central,basic,web,manual,rejected,39,252609,67196,47,22923,1,3833,86,7,0.53,0.29,69.9,0,0,57.4,244009,1.13,0,0.33,0,71561,0.32,98,1,1,0,0,0.54,0.38,0,11
